#写入kg的数据，自己处理，#开头是注释，用|分割
#在本文件中每个ITEM的格式是 value|label(标识,实体的type)|代称|topic(用逗号分割)
潮州|city|这个地方|city
东莞|city|这个地方|city
中山|city|这个地方|city
清远|city|这个地方|city
江门|city|这个地方|city
汕尾|city|这个地方|city
云浮|city|这个地方|city
熊猫|animal|它|animal
兔子|animal|它|animal
乌龟|animal|它|animal
大象|animal|它|animal
蛇|animal|它|animal
龟|animal|它|animal
莲花|plant|这|plant
萝卜|plant|这|plant
红薯|plant|这|plant
玫瑰花|plant|这|plant
菠菜|plant|这|plant
多肉|plant|这|plant
月桂|plant|这|plant
玉兰|plant,play|这|plant
小鸟|animal|它|animal
比目鱼|animal|它|animal
柴犬|animal|它|animal
中秋|festival|这个节日|festival
中秋节|festival|这个节日|festival
元旦|festival|这个节日|festival
国庆|festival|这个节日|festival
七夕|festival|这个节日|festival
儿童节|festival|这个节日|festival
情人节|festival|这个节日|festival
清明节|festival|这个节日|festival
端午节|festival|这个节日|festival
重阳节|festival|这个节日|festival
烧鸡|food|这个|food
咖啡|food|这个|food
可乐|food|这个|food
雪碧|food|这个|food
冰阔落|food|这个|food
阔落|food|这个|food
感冒|health|这|health
发烧|health|这|health
生病|health|这|health
急症|health|这|health
中药|health|这|health
西药|health|这|health
哪吒|anime|这|anime
白蛇传|movie|这|anime
哥斯拉|anime,movie|这|anime,movie
蝙蝠侠|anime,movie|这|anime,movie
钢铁侠|anime,movie|这|anime,movie
超人|anime,movie|这|anime,movie
美国队长|anime,movie|这|anime,movie
复联4|anime,movie|这|anime,movie
奇异博士|anime,movie|这|anime,movie
雷神|anime,movie|这|anime,movie
托尔|anime,movie|这|anime,movie
康纳|anime|这|anime
康娜|anime|这|anime
孙悟空|anime|这|anime
老师|relationship|他|relationship
朋友|relationship|他|relationship
同学|relationship|他|relationship
恋人|relationship|他|relationship
男朋友|relationship|他|relationship
女朋友|relationship|她|relationship
暗恋对象|relationship|他|relationship
炮友|relationship|他|relationship
情人|relationship|他|relationship
基友|relationship|他|relationship
姬友|relationship|她|relationship
爬山|sport|这运动|sport
羽毛球|sport|这运动|sport
篮球|sport|这运动|sport
乒乓球|sport|这运动|sport
足球|sport|这运动|sport
露营|sport|这运动|sport
跳舞|sport|这运动|sport
地下城|play|DNF|play
英雄联盟|play|LOL|play
跑跑卡停车|play|这个游戏|play
冒险岛|play|这个游戏|play
冲鸭冲鸭|music|这首歌|music
O.O|music|这首歌|music
下雨|weather|这天气|weather
太阳|weather|这天气|weather
台风|weather|这天气|weather
暴风|weather|这天气|weather
暴雨|weather|这天气|weather
大雨|weather|这天气|weather
炎热|weather|这天气|weather
萧山|city|这个地方|city
中国绿茶之乡|city|这个地方|city
哈夫纳夫约杜尔|city|这个地方|city
长安|city|这个地方|city
宋朝|time|那时|time
大棘|city|这个地方|city
苏黎士|city|这个地方|city
敦煌|city|这个地方|city
青海|city|这个地方|city
博尔|city|这个地方|city
澳门|city|这个地方|city
盐城|city|这个地方|city
心塞|health,mood|这|health,mood
心累|mood|这|mood
心烦|mood|这|mood
不舒服|health,mood|这|health,mood
开森|mood|这|mood
不开森|mood|这|mood
开心|mood|这|mood
不开心|mood|这|mood
快乐|mood|这|mood
伤心|mood|这|mood
心烦|mood|这|mood
无聊|mood|这|mood
高兴|mood|这|mood
日本|city|这里|city
